,positive_review,review
0,1,product work stay dry day like smell
1,1,convenient effective great product pet kid easy quick way clean everyday mess
2,1,really great movie kid watch enjoy
3,1,great movie identical cartoon version seen one well let call grown version sing along great special effect enjoyed lot
4,1,absolutely love windex antibacterial use everything cleaning table cleaning bathroom love product
5,1,visible lift brush wonderful provides even smooth coverage using brush frightened first gave try need careful bring small amount coverage natural look astounding definitely even skin tone softens pore line really love use religiously never found makeup felt comfortable using even young truly breakthrough product
6,1,love keep clorox wipe kitchen counter quickly sanitize whenever need review collected part promotion
7,1,watched twenty time get boring enjoy beautiful aerial shot dialog story
8,1,tide pod keep clothes clean color bright white review collected part promotion
9,1,easy enough pre teen daughter use keep bathroom clean idea fun design stay counter similar kleenex box like freshness smell clean bathroom review collected part promotion
10,1,love group song great listen
11,1,using since first came thing like easiest remove night come right water little soap leaf eyelash intact without losing process recommend plan shedding tear since waterproof everyday use absolutely fantastic book
12,1,really enjoyed movie k story line ok far special effect make movie worth seeing
13,1,saw burt brought back time favorite lip shimmer ever cocoa go well nearly everything look natural right amount color make lip feel great thanks burt
14,1,absoulty love everything product smell end result load washed loved loved loved already bought product review collected part promotion
15,1,animation film amazing plot good
16,1,dentist accidentally misaligned bite filling lot sensitivity area pressure applied received liquid free sample tried see would help soreness found product reduces pain get chew food great treatment option wait dentist fix issue review collected part promotion
17,1,funny movie great comedy touch love story
18,1,conditioner part l oreal extraordinary clay hair care system mask shampoo conditioner designed treat different requirement oily scalp root dry end balancing system hair care designed break cycle combination hair shampoo apply conditioner wet hair massage hair mid length end let conditioner sit hair couple minute comb rinse usual conditioner light weight moisturizing allowing daily use however using product extraordinary clay system allow combination hair stay fresh soft hydrated day packaging attractive green bottle match colour design mask shampoo system really like l oreal design conditioner bottle dispense product opposite end help distinguish shampoo conditioner bottle shower product white creamy pleasant herbal scent used conditioner multiple time found coat hair well easy comb hair rinse cleanly hair feel immediately moisturized without greasy oily bonus conditioner silicone free product effective use part extraordinary clay system feel conditioner entire system great value money review collected part promotion
19,1,silver lining allows enter amazing mind extraordinary people
20,1,conditioner wonder hair made soft manageable smell wonderful review collected part promotion
21,1,love conditioner far best conditioner tried make hair smooth shiny soft without greasiness hair long pixie really moisturizes dry stubborn area hair unlike many conditioner plus scent delicious smell like salon product use without shampoo though cause using hair get greasy weighed shampoo culprit
22,1,awesome movie funny food character talking dirty getting lol
23,1,come conditioner depending day either wash curly hair everyday every day conditioner gentle hair leave feeing smooth get rid dry itchy flaky scalp week love sent effectiveness scalp winter left scalp dry flaky using product went back normal although tested product free opinion
24,1,always afraid putting conditioner hair add weight onto oil hair making lot painful already conditioner best ever tried extraordinary clay conditioner conditioned hair rinsed great hair felt light clean step process extraordinary clay product scalp pain oil free thanks loreal received product free complimentary testing purpose opinion review collected part promotion
25,1,son asked bought bargain toilet paper said geeze mom put finger please buy anymore cheap stuff right back using good stuff thanks quilted northern ultra plush review collected part promotion
26,1,need good conditioner waist long color treated hair trick got complimentary influenster voxbox rest shampoo clay hair mask set done wonder long hair longer weighted heavy conditioner nightmare oily root dry end ended thank goodness loreal came thank influenster introducing product set review collected part promotion
27,1,among reason enjoy hanging around best buy store rummaging stack discounted dvd list price thus thrilled find cheap dvd copy tarantino classic black comedy revived john travolta career lister placed samuel l jackson map acting force reckoned serious film collector must lined right one copy casablanca godfather trilogy
28,1,love clorox product use time many year bleach wipe detergent love review collected part promotion
29,1,know tide pod could great loved moment tried went n purchased whole pack would recommend anyone already told co worker regarding tide pod purchased family member thank much review collected part promotion
30,1,received complimentary test day ago finally trying actually smell really good left scalp feeling soft shampoo conditioner worked smelled great use lot conditioner either would definitely recommend review collected part promotion
