,label,review
0,1,man foodie like arabian master nice place environment food quality good specially staff behaviour nice good environment quality food suitable price arabian master awesome word
1,1,guy awesome love offer pizza tasty reasonableprice
2,1,went referred friend tried cheese cream pasta totally worth variety set meal pizza nb already owe treat friend trust best option
3,0,went family dinner set menu bbq chicken naan believe tell utterly disgusted core never bbq chicken rather food restaurant bad chicken bland hell tasted like boiled piece rubber almost smelled bad know bad day something painful thing took hour serve horror plate parent set menu item also included bbq chicken tasted almost bad mine though staff behavior good make bad food long wait know experience accident part sure horrific
4,1,served tasty good quality food
5,1,really good place awesome behaviour also good best hospitality food also best every food really testy reasonable price place best couple friend family interior design looking much beautiful iloved everything
6,1,good place food really tasty environment good enough see view lalbag kella behavior staff good price reasonable
7,1,comfortable place ever meh specially behavr frndlyy
8,0,today parcel crispy chicken fried reached house little bit started eat bad smell possible eat another many time case item sometimes really bad
9,1,nice place great time loved yummy pizza pasta like much pizza price reasonable
10,1,best arabian master liked carry
11,1,food assum burger good arabian master master shop old town inshallah
12,1,visit frequently almost like regular customer food quality good environment also good tested pizza set menu totally trustworthy
13,1,environment better restaurant lalbagh service goood bcz give unlimited change evry time try
14,1,nice friendly environment good food set menu best opinion keep
15,0,worst food ever experienced soup like steamed water set menu rice chicken taste le chicken contained heavy food colour cause cancer
16,0,bad service tym tk waste behaviour bad decoration bad close improve quality
17,1,went today first time unexpectedly food yumm expected service way fast others liked
18,1,food quality service good love food specially cream pasta chawmin
19,1,everyone enjoyed lot fun chat friend birthday party thanks arabian master
20,1,pizza nice like friend also like
21,1,today going celebrating frnd birth day totally amazing food really good gyus pls going enjoy day
22,1,best place family hangout food quality quantity thanks everything arabian master
23,1,yummy pizza reasonable price also discount various offer loved
24,1,great food specially bbq chicken everyone visit taste
25,1,bbq pizza love visited many time environment also good
26,0,worst possible service super rude give food time iftar
27,1,simply pizza cheeseeeeee wanna taste sure
28,1,great place behaviour good keep going
29,1,nice place hangout service good
30,1,great food specially bbq lollipop chicken everyone visit taste
31,0,cream cheese pasta fusilli pasta beef arabian pasta
32,1,amazing food great hospitality really impressed
33,1,awesome
34,1,yyyaaammee food good survice thanx woner arabian master
35,1,food r awesome u try gonna miss
36,1,st home delivery frm dm nyc n fast n de pizza mouthwatering yummm
37,0,offer price b b q pizza tk ta pasta tk ta free atto faltu khabar ami amr frnds ra life khai nai tk purai panity gase test service
38,1,fantastic food
39,0,nothing good
40,0,waste money
41,1,valo
42,1,kisu bolar nai khowar test onek vlo love
43,1,food quality good delicious
44,1,say arabian master mah nd bari ghar loved thr food n abt service thr staff r lyk mah younger brother badol vai iz mah much closer brother n tareq vai owner unake nye r kichu ble lojja dbo naah jst thnq thnq brother foh open amazing side
45,0,food quality totally nonsense price ridiculously sky high go vooter bari pizza king much better
46,1,nice love
47,1,yummy food service satisfied loved
48,1,nice place lalbagh love da food
49,0,used one favorite place food last three visit absolute disappointment chicken dry tasteless favorite charbroiled chicken totally lost texture top reduced size chicken piece hope management take issue seriously
